>>*HEADER*<<
FileID:DSExport.CSV
Version:2
GridSize:{Width=119, Height=74}
>>*DATA*<<
x,y,x (pix)[pix],y (pix)[pix],x (mm)[mm],y (mm)[mm],U pix[pix],V pix[pix],U[m/s],V[m/s],Status
0,0,15.5,15.5,0.108577274659183,0.108577274659183,0.416709899902344,3.12484741210938,0.00043783512192864,0.00328326240391681,0
1,0,31.5,15.5,0.220657035242766,0.108577274659183,0.493850708007813,3.04634094238281,0.000518886604339897,0.00320077602729612,0
2,0,47.5,15.5,0.332736817654222,0.108577274659183,0.310741424560547,2.7922477722168,0.000326494545828238,0.00293380153456882,0
3,0,63.5,15.5,0.444816570961848,0.108577274659183,0.200775146484375,2.54673004150391,0.000210953497293508,0.00267583721553653,0
4,0,79.5,15.5,0.556896324269474,0.108577274659183,0.240440368652344,2.50103378295898,0.000252629558717316,0.00262782437270177,0
5,0,95.5,15.5,0.66897610668093,0.108577274659183,0.316139221191406,2.47726058959961,0.000332165985231459,0.0026028459908213,0
6,0,111.5,15.5,0.781055889092386,0.108577274659183,0.378780364990234,2.65203475952148,0.000397982738899507,0.00278648038495413,0
7,0,127.5,15.5,0.893135613296181,0.108577274659183,0.369575500488281,2.55145645141602,0.000388311231281152,0.00268080323208818,0
8,0,143.5,15.5,1.0052154539153,0.108577274659183,0.460868835449219,2.5167350769043,0.000484232706756684,0.00264432164802591,0
9,0,159.5,15.5,1.11729511991143,0.108577274659183,0.571083068847656,2.50595855712891,0.000600034280776369,0.00263299880964139,0
10,0,175.5,15.5,1.22937490232289,0.108577274659183,0.570476531982422,2.21548461914063,0.000599396995359328,0.00232779921614482,0
11,0,191.5,15.5,1.34145468473434,0.108577274659183,0.699859619140625,2.08485412597656,0.000735339193408118,0.00219054637450249,0
12,0,207.5,15.5,1.4535344671458,0.108577274659183,0.767612457275391,2.11030578613281,0.000806526780150594,0.00221728831351188,0
13,0,223.5,15.5,1.56561424955726,0.108577274659183,0.883510589599609,2.21239852905273,0.000928300399902291,0.00232455667587824,0
14,0,239.5,15.5,1.67769403196871,0.108577274659183,0.899551391601563,2.11931228637695,0.000945154394736597,0.00222675140074228,0
15,0,255.5,15.5,1.78977381438017,0.108577274659183,0.863128662109375,2.00461196899414,0.000906885205039105,0.00210623631948712,0
16,0,271.5,15.5,1.9018534803763,0.108577274659183,1.17422103881836,2.20070648193359,0.00123374849463066,0.00231227189724158,0
17,0,287.5,15.5,2.01393337920308,0.108577274659183,1.45835876464844,2.22846603393555,0.00153229065996557,0.00234143872730324,0
18,0,303.5,15.5,2.12601316161454,0.108577274659183,1.4625244140625,1.85745620727539,0.00153666748811279,0.00195162045629374,0
19,0,319.5,15.5,2.23809294402599,0.108577274659183,1.66059112548828,1.76020050048828,0.00174477524549373,0.00184943434492617,0
20,0,335.5,15.5,2.35017249360681,0.108577274659183,1.9508171081543,1.82466125488281,0.00204971431350534,0.00191716295484534,0
21,0,351.5,15.5,2.46225227601826,0.108577274659183,2.11050415039063,1.99501419067383,0.00221749673389985,0.00209615197917723,0
22,0,367.5,15.5,2.57433205842972,0.108577274659183,2.19939041137695,2.03545379638672,0.00231088910812914,0.00213864168173097,0
23,0,383.5,15.5,2.68641184084117,0.108577274659183,2.19936370849609,2.00102996826172,0.00231086105153845,0.00210247272825064,0
24,0,399.5,15.5,2.79849162325263,0.108577274659183,2.08108139038086,1.75624465942383,0.00218658237904682,0.00184527796142006,0
25,0,415.5,15.5,2.91057140566409,0.108577274659183,2.23557662963867,1.85923767089844,0.00234890979659483,0.00195349223170102,0
26,0,431.5,15.5,3.02265118807554,0.108577274659183,2.32625961303711,2.02037048339844,0.00244418997856894,0.00212279371607702,0
27,0,447.5,15.5,3.134730970487,0.108577274659183,2.23281478881836,1.9063720703125,0.00234600794350088,0.00200301612234851,0
